epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,831.216,0.84945,0.59531,1.07336,0.9348,0.93542,0.98021,0.6394,1.27309,0.54379,1.3576,0.000288062,0.000288062,0.000288062
140,837.122,0.84053,0.57276,1.06184,0.9606,0.95737,0.98359,0.64697,1.26823,0.50634,1.36524,0.000283563,0.000283563,0.000283563
141,842.851,0.85159,0.57406,1.07598,0.9464,0.9437,0.97942,0.64479,1.28046,0.53789,1.37057,0.000279063,0.000279063,0.000279063
142,848.515,0.83156,0.56502,1.06303,0.96255,0.96718,0.98178,0.63508,1.28718,0.51797,1.37406,0.000274563,0.000274563,0.000274563
143,854.299,0.84507,0.5832,1.07328,0.94359,0.94738,0.9778,0.62918,1.27699,0.53234,1.35624,0.000270064,0.000270064,0.000270064
144,860.646,0.84261,0.56798,1.06458,0.92737,0.96869,0.98177,0.63745,1.27659,0.51682,1.36088,0.000265564,0.000265564,0.000265564
145,867.075,0.8244,0.56505,1.05518,0.93967,0.92981,0.97652,0.63252,1.28507,0.55152,1.35156,0.000261065,0.000261065,0.000261065
146,873.15,0.81123,0.55421,1.04841,0.94388,0.93189,0.97777,0.63949,1.27524,0.54274,1.3678,0.000256565,0.000256565,0.000256565
147,879.549,0.83237,0.58422,1.06453,0.92281,0.93077,0.97217,0.63367,1.26551,0.56865,1.3561,0.000252066,0.000252066,0.000252066
148,885.92,0.81927,0.56233,1.0588,0.94838,0.91192,0.97376,0.63803,1.26851,0.56188,1.34745,0.000247566,0.000247566,0.000247566
149,891.814,0.81609,0.55235,1.05576,0.92923,0.94525,0.9706,0.62015,1.30137,0.58678,1.3835,0.000243067,0.000243067,0.000243067
150,897.535,0.80225,0.54992,1.05118,0.92122,0.95173,0.97574,0.64276,1.25637,0.5584,1.33407,0.000238567,0.000238567,0.000238567
151,903.106,0.82478,0.579,1.06381,0.94224,0.93469,0.97361,0.62375,1.30366,0.56488,1.38471,0.000234068,0.000234068,0.000234068
152,908.865,0.82167,0.55406,1.04993,0.93517,0.91907,0.9726,0.62954,1.28621,0.56938,1.35672,0.000229568,0.000229568,0.000229568
153,914.331,0.82022,0.57451,1.05147,0.92495,0.94896,0.9712,0.62491,1.28465,0.55104,1.37706,0.000225068,0.000225068,0.000225068
154,919.89,0.81978,0.54424,1.04553,0.9324,0.95294,0.97799,0.6285,1.28179,0.53769,1.37644,0.000220569,0.000220569,0.000220569
155,925.367,0.78876,0.52805,1.0308,0.93138,0.95032,0.9829,0.63412,1.29333,0.54589,1.38257,0.000216069,0.000216069,0.000216069
156,931.24,0.801,0.55374,1.04986,0.90946,0.94836,0.97777,0.6164,1.34613,0.56842,1.42228,0.00021157,0.00021157,0.00021157
157,937.248,0.78802,0.5358,1.03568,0.9274,0.93881,0.98208,0.63626,1.27964,0.53213,1.36596,0.00020707,0.00020707,0.00020707
158,942.983,0.80333,0.54968,1.03962,0.93044,0.95506,0.97722,0.63756,1.27786,0.53613,1.37466,0.000202571,0.000202571,0.000202571
159,948.621,0.77645,0.51956,1.02742,0.94128,0.94028,0.9767,0.63548,1.28952,0.54147,1.38777,0.000198071,0.000198071,0.000198071
160,954.673,0.79571,0.55279,1.05014,0.95023,0.95609,0.98236,0.64222,1.26253,0.514,1.35002,0.000193572,0.000193572,0.000193572
161,961.326,0.78311,0.52913,1.03227,0.91779,0.94884,0.97983,0.6395,1.26337,0.56277,1.35572,0.000189072,0.000189072,0.000189072
162,967.102,0.79103,0.54476,1.0376,0.94264,0.95204,0.98155,0.63801,1.27464,0.53495,1.37796,0.000184572,0.000184572,0.000184572
163,972.444,0.78949,0.53997,1.03978,0.92813,0.96787,0.98378,0.63381,1.29249,0.52601,1.38824,0.000180073,0.000180073,0.000180073
164,978.274,0.77991,0.51664,1.03921,0.93534,0.95415,0.98128,0.63375,1.29417,0.52855,1.38174,0.000175573,0.000175573,0.000175573
165,983.995,0.79374,0.55057,1.04697,0.94283,0.94538,0.98085,0.63982,1.28963,0.53052,1.37314,0.000171074,0.000171074,0.000171074
166,989.42,0.79858,0.55229,1.05044,0.94774,0.94833,0.98102,0.63625,1.29132,0.53306,1.3804,0.000166574,0.000166574,0.000166574
167,996.963,0.77204,0.52084,1.02236,0.94183,0.90817,0.97494,0.62993,1.29057,0.56274,1.36703,0.000162075,0.000162075,0.000162075
168,1004.25,0.80133,0.54911,1.0482,0.92647,0.93067,0.97143,0.63818,1.27824,0.56846,1.36056,0.000157575,0.000157575,0.000157575
169,1010.29,0.78334,0.53876,1.03698,0.93076,0.9389,0.97369,0.62259,1.30968,0.56473,1.39194,0.000153076,0.000153076,0.000153076
170,1016.19,0.7731,0.5257,1.03614,0.92638,0.94142,0.97708,0.63904,1.27097,0.5553,1.34753,0.000148576,0.000148576,0.000148576
171,1022.22,0.77057,0.51565,1.03353,0.90989,0.94553,0.97385,0.63473,1.28564,0.56189,1.37619,0.000144077,0.000144077,0.000144077
172,1028.36,0.76566,0.52188,1.02674,0.91867,0.94477,0.97602,0.63203,1.28335,0.56009,1.37064,0.000139577,0.000139577,0.000139577
173,1034.31,0.77234,0.53832,1.03437,0.92139,0.92846,0.9746,0.63773,1.27655,0.55698,1.36291,0.000135077,0.000135077,0.000135077
174,1040.89,0.74942,0.51615,1.02342,0.94033,0.91441,0.96566,0.63199,1.27176,0.56941,1.35847,0.000130578,0.000130578,0.000130578
175,1047.1,0.7693,0.52219,1.02377,0.89545,0.95377,0.97036,0.63004,1.27986,0.57033,1.36548,0.000126078,0.000126078,0.000126078
176,1053.33,0.77264,0.53144,1.03619,0.93766,0.91673,0.97806,0.64754,1.25789,0.55868,1.35537,0.000121579,0.000121579,0.000121579
177,1059.64,0.76205,0.51642,1.03032,0.91993,0.93862,0.97806,0.63476,1.28071,0.55002,1.39339,0.000117079,0.000117079,0.000117079
178,1066.01,0.7648,0.52226,1.02924,0.9053,0.963,0.97849,0.64512,1.26128,0.54983,1.37072,0.00011258,0.00011258,0.00011258
179,1072.78,0.76185,0.53601,1.03136,0.90657,0.96268,0.97597,0.63723,1.272,0.54139,1.38397,0.00010808,0.00010808,0.00010808
180,1080.15,0.74007,0.5078,1.01797,0.94945,0.92449,0.97501,0.64044,1.27434,0.53511,1.38265,0.000103581,0.000103581,0.000103581
181,1085.84,0.76874,0.51888,1.03366,0.9201,0.94238,0.97881,0.64062,1.27377,0.53765,1.37969,9.9081e-05,9.9081e-05,9.9081e-05
